datetime,open,high,low,close,volume,hold
2025-10-17 13:45:00,994.72,999.32,993.54,998.38,62,227591
2025-10-17 14:45:00,998.38,1001.0,995.4,999.88,114,224354
2025-10-17 15:00:00,999.88,1000.58,998.86,999.8,118,222188
2025-10-17 22:00:00,989.6,989.6,975.3,979.2,163307,221428
2025-10-17 23:00:00,979.18,979.18,965.46,974.98,73241,220364
2025-10-18 01:00:00,970.66,972.68,963.52,964.26,69,219660
2025-10-18 02:00:00,964.26,969.54,960.26,968.42,36374,217696
2025-10-18 09:30:00,968.54,973.94,967.86,973.88,19123,216486
2025-10-20 00:00:00,974.96,977.0,960.26,962.68,89535,218937
2025-10-20 09:30:00,973.72,977.76,968.2,977.58,36580,215173
2025-10-20 10:45:00,977.54,979.38,975.62,976.84,1528,213501
2025-10-20 13:45:00,976.84,977.68,974.3,975.72,36588,212111
2025-10-20 14:45:00,975.7,975.8,967.6,969.86,38322,209997
2025-10-20 15:00:00,969.88,970.32,968.62,970.32,9462,207902
2025-10-20 22:00:00,990.0,990.64,983.7,983.96,105986,209724
2025-10-20 23:00:00,983.98,991.44,982.36,990.9,34570,210783
2025-10-21 00:00:00,990.88,995.8,990.88,994.94,5977,211577
2025-10-21 01:00:00,994.92,995.32,993.54,995.12,18063,211268
2025-10-21 02:00:00,995.16,996.46,993.56,995.96,13953,211029
2025-10-21 09:30:00,995.96,1001.86,994.96,995.16,29754,210061
2025-10-21 10:45:00,995.1,995.88,991.6,992.8,62507,208404
2025-10-21 13:45:00,992.78,995.02,986.66,988.6,2971,208909
2025-10-21 14:45:00,988.6,992.86,986.6,992.78,5302,205932
2025-10-21 15:00:00,992.78,994.26,991.94,994.06,97,205075
2025-10-21 22:00:00,963.12,966.6,955.26,955.62,183142,203159
2025-10-21 23:00:00,955.58,958.48,937.52,949.16,110871,203435
2025-10-22 00:00:00,949.16,951.42,945.36,949.42,9172,202742
2025-10-22 01:00:00,949.44,950.38,942.3,944.52,46063,203242
2025-10-22 02:00:00,944.52,946.0,940.78,944.48,27305,202958
2025-10-22 09:30:00,944.48,946.82,933.2,941.5,49453,200289
2025-10-22 10:45:00,941.54,943.84,936.88,942.7,1113,196082
2025-10-22 13:45:00,942.76,949.8,941.82,948.62,40902,194621
2025-10-22 14:45:00,948.62,952.8,947.12,952.78,185,193838
2025-10-22 15:00:00,952.84,953.3,951.2,952.56,46,192803
2025-10-22 22:00:00,927.36,938.52,926.8,937.5,124562,197013
