hour,xyz_usd_per_ton,xyz_close,shfe_usd_per_ton,shfe_close,spread,spread_ratio,spread_mean,spread_std,zscore
2026-01-27 22:00:00,12871.67387,5.8385,14106.206896551725,102270.0,-1234.533026551726,-8.751700833577791,-7.245096992548283,0.9525675581590548,-1.5816241358683176
2026-01-27 23:00:00,12932.962306,5.8663,13953.103448275862,101160.0,-1020.1411422758628,-7.311213208283918,-7.218478779332794,0.9408659601786047,-0.09856284835038544
2026-01-28 00:00:00,12949.276494,5.8737,13995.862068965518,101470.0,-1046.5855749655184,-7.477821443283739,-7.215451903986419,0.9398678047875023,-0.27915578974070737
2026-01-28 01:00:00,12937.81247,5.8685,14008.275862068966,101560.0,-1070.4633920689666,-7.641649854765664,-7.212091664752081,0.9381194754883907,-0.45789283906503714
2026-01-28 10:00:00,13102.938508,5.9434,14052.413793103447,101880.0,-949.4752851034482,-6.756670413231247,-7.164757689787945,0.9309180941598484,0.4383707644279871
2026-01-28 11:00:00,13194.6507,5.985,14200.0,102950.0,-1005.3493,-7.079924647887326,-7.142872520822352,0.9262766791153115,0.06795795938115114
2026-01-28 14:00:00,13193.107466,5.9843,14252.413793103447,103330.0,-1059.306327103448,-7.432469632730088,-7.118867346233514,0.9101910534494629,-0.34454556030635247
2026-01-28 15:00:00,13160.920013999998,5.9697,14215.172413793103,103060.0,-1054.2523997931055,-7.416388413060371,-7.089708690523996,0.8877853962741683,-0.36797149841321447
2026-01-28 22:00:00,13119.693619999998,5.951,14150.344827586208,102590.0,-1030.6512075862083,-7.283576620528331,-7.078683129475391,0.8834765565876317,-0.23191729257007915
2026-01-28 23:00:00,13031.50882,5.911,14202.758620689656,102970.0,-1171.2498006896567,-8.246635966786453,-7.122243500164814,0.9149905077228756,-1.2288569740683972
2026-01-29 00:00:00,13027.760966,5.9093,14121.379310344828,102380.0,-1093.618344344828,-7.744415898124634,-7.138814080862296,0.922800401563392,-0.6562652294432664
2026-01-29 01:00:00,13081.774156,5.9338,14125.51724137931,102410.0,-1043.7430853793103,-7.389060998925889,-7.298242646362616,0.5213046014128239,-0.17421360240661635
2026-01-29 10:00:00,13516.52522,6.131,14227.586206896553,103150.0,-711.060986896553,-4.997762632089198,-7.207980254778222,0.7018334172779696,3.1492054500072926
2026-01-29 11:00:00,13837.517892,6.2766,14877.241379310344,107860.0,-1039.7234873103444,-6.988684668088263,-7.204313647443926,0.7027784096957451,0.3068235682553417
2026-01-29 14:00:00,13908.065732,6.3086,15150.344827586208,109840.0,-1242.2790955862074,-8.199675385105609,-7.244041713720431,0.7316079091268768,-1.3062101427056192
2026-01-29 15:00:00,13924.820844,6.3162,15049.655172413792,109110.0,-1124.8343284137936,-7.474153497387959,-7.286356944512328,0.7133446326399061,-0.2632620255102267
