date,cme_close,cme_usd_per_lb,shfe_close,cme_usd_per_ton,shfe_usd_per_ton,spread,spread_ratio
2021-10-11,433.85,4.3385,70260,9564.743869999998,9691.034482758621,-126.29061275862296,-1.3031695737261833
2021-10-12,432.1,4.321000000000001,69680,9526.163020000002,9611.034482758621,-84.8714627586196,-0.8830627224454536
2021-10-13,448.95,4.4895,70100,9897.641489999998,9668.965517241379,228.67597275861954,2.3650510734664647
2021-10-14,461.1,4.611000000000001,72480,10165.502820000002,9997.241379310344,168.26144068965732,1.6830787044702205
2021-10-15,472.1,4.721,73820,10408.01102,10182.068965517241,225.94205448275898,2.219019093741537
2021-10-18,471.15,4.7115,76270,10387.06713,10520.0,-132.93287000000055,-1.2636204372623627
2021-10-19,468.45,4.6845,75810,10327.542389999999,10456.551724137931,-129.00933413793246,-1.2337655619311572
2021-10-20,473.15,4.7315,73380,10431.159529999999,10121.379310344828,309.7802196551711,3.0606522110929277
2021-10-21,455.75,4.5575,72890,10047.55565,10053.793103448275,-6.237453448275119,-0.06204079777746551
2021-10-22,450.15,4.5015,72390,9924.09693,9984.827586206897,-60.73065620689704,-0.6082293928719484
2021-10-25,452.95,4.5295,72110,9985.826289999999,9946.206896551725,39.61939344827442,0.39833671127442727
2021-10-26,449.55,4.4955,72000,9910.869209999999,9931.034482758621,-20.16527275862245,-0.20305309375001773
2021-10-27,438.75,4.3875,70560,9672.77025,9732.413793103447,-59.64354310344788,-0.6128340242346899
2021-10-28,443.25,4.4325,71110,9771.978149999999,9808.275862068966,-36.297712068966575,-0.37007229995782265
2021-10-29,437.4,4.374,70540,9643.00788,9729.655172413793,-86.64729241379428,-0.8905484406010893
2021-11-01,438.9,4.388999999999999,70140,9676.077179999998,9674.48275862069,1.5944213793081872,0.016480688622732186
2021-11-02,437.1,4.371,69660,9636.39402,9608.275862068966,28.118157931034148,0.29264519810507833
2021-11-03,434.75,4.3475,71350,9584.58545,9841.379310344828,-256.7938603448274,-2.6093279432375596
2021-11-04,432.1,4.321000000000001,70150,9526.163020000002,9675.862068965518,-149.69904896551634,-1.5471391375623569
2021-11-05,434.1,4.341,69590,9570.25542,9598.620689655172,-28.365269655172597,-0.29551401781865405
2021-11-08,439.75,4.3975,70000,9694.81645,9655.172413793103,39.644036206897,0.4105989464285761
2021-11-09,437.3,4.373,70550,9640.80326,9731.034482758621,-90.23122275862079,-0.9272521119773219
2021-11-10,430.15,4.3015,70330,9483.172929999999,9700.689655172413,-217.51672517241423,-2.2422810429404283
2021-11-11,440.35,4.4035,70420,9708.04417,9713.103448275862,-5.059278275863107,-0.05208714498723023
2021-11-12,445.15,4.451499999999999,70570,9813.865929999998,9733.793103448275,80.07282655172276,0.8226271680600681
2021-11-15,440.95,4.4094999999999995,70830,9721.271889999998,9769.655172413793,-48.383282413795314,-0.4952404313144374
2021-11-16,434.45,4.3445,70360,9577.97159,9704.827586206897,-126.85599620689754,-1.3071432241330403
2021-11-17,420.15,4.201499999999999,70140,9262.710929999997,9674.48275862069,-411.77182862069276,-4.256267119332795
2021-11-18,429.95,4.2995,68910,9478.76369,9504.827586206897,-26.06389620689697,-0.27421745392541436
2021-11-19,439.8,4.398,70960,9695.918759999999,9787.586206896553,-91.66744689655388,-0.9365684751973161
2021-11-22,439.2,4.3919999999999995,70180,9682.691039999998,9680.0,2.6910399999978836,0.027799999999978134
2021-11-23,441.85,4.4185,70740,9741.113469999998,9757.241379310344,-16.127909310345785,-0.16529169140515543
2021-11-24,447.3,4.473,71220,9861.265259999998,9823.448275862069,37.81698413792947,0.3849664911541542
2021-11-25,443.7,4.437,71970,9781.898940000001,9926.896551724138,-144.99761172413673,-1.4606540016673493
2021-11-26,428.65,4.2865,70560,9450.10363,9732.413793103447,-282.31016310344785,-2.900720921910427
